epoch,step,train_loss_step
0,0,971.7197265625
0,1,871.2516479492188
0,2,883.6180419921875
0,3,872.1617431640625
0,4,874.4725341796875
0,5,863.2705078125
0,6,837.3436279296875
0,7,883.9952392578125
0,8,726.8151245117188
0,9,757.0938720703125
0,10,587.5784301757812
0,11,633.3687744140625
0,12,702.1968994140625
0,13,701.4717407226562
0,14,742.8306884765625
0,15,735.7066040039062
0,16,677.1768188476562
0,17,617.1414794921875
0,18,639.4846801757812
0,19,583.6156005859375
0,20,551.0442504882812
0,21,554.1697998046875
0,22,583.279052734375
0,23,640.39111328125
0,24,606.0909423828125
0,25,543.0992431640625
0,26,471.5238037109375
0,27,509.29193115234375
0,28,567.7463989257812
0,29,480.4730529785156
0,30,446.3344421386719
0,31,411.4170837402344
0,32,354.543212890625
0,33,423.35772705078125
0,34,502.88543701171875
0,35,358.71234130859375
0,36,428.6876525878906
0,37,430.2396240234375
0,38,369.4609069824219
0,39,387.7809753417969
0,40,397.843994140625
0,41,363.34100341796875
0,42,321.8881530761719
0,43,423.8086242675781
0,44,336.25079345703125
0,45,409.4007568359375
0,46,408.354248046875
0,47,461.3670654296875
0,48,343.67437744140625
0,49,352.6175842285156
0,50,414.1093444824219
0,51,404.0293273925781
0,52,367.4873352050781
0,53,404.8444519042969
0,54,405.2976379394531
0,55,418.5954895019531
0,56,469.5400390625
0,57,388.94464111328125
0,58,329.29583740234375
0,59,435.85400390625
0,60,386.64324951171875
0,61,364.60302734375
0,62,396.2161865234375
0,63,287.4525451660156
0,64,387.443115234375
0,65,366.8817138671875
0,66,404.666748046875
0,67,355.7182312011719
0,68,369.9444885253906
0,69,303.61029052734375
0,70,399.4972839355469
0,71,373.5754699707031
0,72,338.5884094238281
0,73,303.9563293457031
0,74,303.2102355957031
0,75,316.0571594238281
0,76,238.81442260742188
0,77,250.1054229736328
0,78,269.2904968261719
0,79,293.02227783203125
0,80,261.5445251464844
0,81,276.2891845703125
0,82,233.1017608642578
0,83,278.5235290527344
0,84,271.01373291015625
